Index,Company,Job Description
0,Bunzz,"Bunzz is a Smart Contract as a Service in the Web3 space.With its library of smart contract modules, developing a DApp is easier than any other service.And we plan to implement tokenomics, where incentives will be distributed to module developers. This groundbreaking feature has the potential to attract countless valuable smart contracts to Bunzz and grow it into a Github-like service in the Web3 space.And we're looking for a Product Manager.The requirements are as follows

Experience working on at least 5 DApp developments
At least 3 years of engineering experience
Must be able to write solidity
Must be able to speak English

Any race, gender, and region of residence is acceptable.

Bunzz team is waiting for your application."
1,Kalend Finance,"About the Role
We are looking for an experienced protocol developer to join our team, who is excited about our mission to bring Defi primitives to millions of users. They will be responsible for helping the Kalend team in building the most secure, seamless, and high- performance protocol that offers our customers an easy-to-use application for lending and borrowing in the Kadena ecosystem.
This is one of Kalend’s early hires and a unique opportunity to drive deep impact and shape one of the most anticipated startups building the future of finance. Join a talented team of builders passionate about helping investors across all levels weathers the storms of crypto Nearly uncapped upward mobility, room for improvement, and increased accountability. The team behind this initiative consists of the serial entrepreneurs from Stanford Blockchain Network, ex-Apple, and ex-Google engineers. We are growing at a breakneck pace and are looking for hungry and humble builders to join us.
Responsibilities
You will work directly with the core team, where your experience will complement our coverage of knowledge of best practices in designing mainnet deployments. You’re mature and experienced in systems design and engineering, and have the right way of thinking about design and implementation challenges. You will be our lead engineer on the protocol and smart contract implementation.
Research and drive high-level decisions about protocol architecture, incentive structures, and features. Spec, implement, test, and audit protocol upgrades and additions. Work effectively with a high degree of autonomy, within a collaboratively minded team. Keep up to date with new blockchain technologies that can drive meaningful product results for our users. Collaborate with the official team at Kadena, including engineering and product management.
Requirements
Bachelor's degree or nothing, we don’t care about your degree
Experience writing high-quality, well-tested Smart Contract code on any L1 platform.
Knowledge of the blockchain technology, and crypto-economic protocols
Strong communication, ownership, and collaboration skills
The ability to learn and adapt to a rapidly evolving tech stack Passion for the benefits of decentralization
Nice to Haves
Prior development experience with Kadena or Pact/any functional programming language.
Experience in or knowledge of financial markets, trading, and investing
Deep passion for emerging technologies and understanding their implications
Active following on Twitter that brings organic engagement to your posts Existing relationships and networks in the crypto/Defi/NFT space
Benefits
Competitive Salary + Token options
Opportunity to impact the next 100M users in crypto
An open and collaborative work culture with a flat structure Flexible working hours and vacation policy
Talented peers and a great working environment
Kalend Finance focuses on Blockchain / Cryptocurrency. Their company has offices in United States. They have a small team that's between 1-10 employees.
You can view their website at https://www.linkedin.com/company/kalend-finance"
2,Matter Product Studio,"What you'll be doing Dynamic client-based work utilizing a wide variety of frameworks. Client work could include launching a mobile product, supporting existing complex applications, and working alongside an existing engineering team in co-development. We currently have a maximum of 3-4 projects per engineer, depending on the needs of each client.
Work on a team to architect, build and maintain web3, web2 and mobile software applications for Matter’s clients.
Integrate web3 projects with web2 interfaces either directly, or through development tooling like ThirdWeb
Share responsibility for reviewing pull requests to ensure code quality and applications are maintainable, secure and scalable.
Write unit and integration tests as needed.
Assist product managers with technical ticket requirements and story point estimates as needed.
Qualifications
4+ years of professional software development experience
1+ years of experience with a Rust, Anchor or Solidity
Previous practical application of a smart contracts - or integration between web2 and web3 platforms - is a plus
An understanding of software development best practices and a commitment to following them.
Ability to effectively communicate via written and spoken English.
Availability to work 40 hours per week.
What’s in it for you: Fully remote organization. Unlimited PTO. Qualified QSE Plan for Health Care, applicable to medical, dental, and vision. Flexible work schedule. Wellness Benefit. Commuter Benefit."
3,UMA,"Our mission is to make markets universally fair and accessible.
Who is UMA?
We are a team, driven by a shared belief that markets should be universally accessible. Our goal is to enable anyone to attain or transfer any form of financial risk, thus empowering everyone to participate in a universally accessible financial system. We have built an optimistic oracle for web3, and are building a robust ecosystem around that core solution. Our growing team is relatively small but incredibly mighty, and strives to be an engaging leader in the DeFi community. 
Where are we headed: 
We’re building foundational infrastructure for web3 and developing high quality products to showcase this.
Our road-map is robust, and with an iterative and continuous development philosophy, we’re always building.
We’re a global team that values diverse perspectives and top tier talent. We’re growing internationally with the support of top tier investors and advisors.
Where do you fit in?
We're looking for a Senior Smart Contract Engineer to join our team. You'll have an opportunity to work across our entire Ethereum-based web3 stack on cutting-edge technology that reshapes the global financial system.
Our tech stack: Solidity, ethers, hardhat, Typescript, Javascript, Node.js, web3, React
Responsibilities 
Protocol Architecture: Research and develop protocol upgrades and new financial concepts.
Smart Contracts:Implement designs with a focus on security, simplicity, ease of use, and gas-efficiency.
Code Review and Mentorship: Write code in a highly collaborative open source ecosystem. In depth reviews of others’ contributions is expected with a focus on helping others grow their technical expertise.
Bots: write off-chain code to interact with and manage smart contracts. Bot systems should have a high degree of correctness, efficiency, and antifragility.
Skills and Qualifications
2+ years full-time experience in Engineering at a software or financial services technology organization
1+ years full-time experience working in solidity or other compiled language
Demonstrated ability to learn new tech and write secure and high quality code
Passion for blockchain technology, cryptoeconomic protocol design, game theory, or decentralized finance
Our values:
1) We value each individual’s right to economic freedom
2) We value openness, honesty, and directness.
3) We value integrity.
4) We value iterative learning.
5) We value taking smart risks. We value creating an environment where everyone “does their best work”. 
Compensation: 
UMA's pay packages include competitive salaries & substantial token options. Salaries range from $100-200K and your token allocation can grow with your voting rewards while you participate in the growing ecosystem.
Philosophies for a culture that show we care: Take vacation when you need it, family care, training and development (just to name a few)
100% remote, which means we encourage you to create the work environment that you thrive in.
Still want to know more?
-Our team at UMA blends a mix of highly-sought engineers, developers and community builders with a traditional finance pedigree. Our fast-growing team includes a diverse background of experiences and has drawn talent from Google, Ernst & Young, IBM and Goldman Sachs. We’re a decentralized protocol governed by community members across the globe in a DAO, and supported by Risk Labs Foundation. 
-We value economic freedom, integrity, and taking smart risks. You’ll succeed at UMA if you’re a self-starter, kind, adaptable, and passionate about building impactful tools to make finance more equitable. 
-UMA is a remote-first international team and we support everyone to create an environment where they can do their best work. UMA teammates take the time off that they need and support each other to create an environment where they are happy, healthy, and inspired. We pride ourselves on being family-friendly as well as nomad-friendly.
-You will not get bored at UMA. The OO empowers unlimited ideas, products, services and protocols. We are constantly developing, building, experimenting and evolving.
Risk Labs is the employing entity and is an equal opportunity employer. We value diversity at our company and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
UMA focuses on Open Source, Finance, Finance Technology, Software Engineering, and Fin Tech. Their company has offices in Remote. They have a small team that's between 11-50 employees.
You can view their website at http://www.umaproject.org or find them on Twitter and LinkedIn."
4,Tapioca,"The RoleThis role as a Core Engineer will have the primary accountability of designing, implementing, deploying, and supporting TapiocaDAO's Solidity smart contracts with the Tapioca team and its associated projects. Currently, the engineering team is working on TapiocaDAO, a DAO governed LayerZero money market based on Sushiswap's Bentobox (Yieldbox) & Kashi lending technologies which Tapioca has licensed from BoringCrypto. Tapioca is unlike many DeFi startups in that engineers have the freedom to build whatever they desire within the scope of lending/borrowing. TapiocaDAO is only the first in an ecosystem of protocols Tapioca will produce over the next 4 years.Responsibilities
Implementing the core TapiocaDAO protocol and associated functionality (such as CurveDAO contracts).
Integrating LayerZero & Gelato Network functionalities
Maintaining deployed technologies, fixing bugs, and identifying improvements to the protocol for the future
Ideal Candidate
Experience building software in the Solidity programming language
Can autonomously work when given directives by the CTO
Deeply passionate about DeFi and driven to build the future
Team player
Strong communication skills
Familiarity with Gelato & LayerZero infrastructure
Deep EVM Knowledge
Knowledge of CurveDAO contracts
Experience with Typescript, Hardhat, Ether.js
Ability to communicate in EST hours
Able to commit to a long-term (2+ year) working relationship



About Tapioca
Tapioca is a DeFi startup technology company based in New York with a remote staff. Tapioca has been in operation since December 2021, and has successfully gained major traction in this short period of time.
Tapioca's technical leadership includes 0xRektora (Sadek Mendi), and other established developers.Why work at Tapioca?
New exciting startup that's growing fast that you can leave a large and lasting impact on
Ability to work on licensed SushiSwap smart contracts such as Kashi that only SushiSwap & Abracadabra have licensed besides Tapioca, and other cutting-edge technologies
Fully remote company, with team members in New York, Canada, and Europe
Deeply passionate and driven leadership working around the clock for success
Team-oriented with a long-term vision

What We Offer

Top-of-the-scale salaries for the best of the best
Team Token Allocation
Bonuses
Creative & Professional freedom
Professional Growth with the company
Ability to work with a talented and driven team


Application Process

Step 1: Fill out the form below (or email).

Step 2: We will contact you to schedule a Solidity test with our lead dev to gauge not only your skills but ingenuity. 

Step 3: If you pass the test, we will conduct a short video interview with our CTO/lead developer & COO

Step 4: Upon completion of the interview, you'll begin a 2-week probationary period working with the team (you will be compensated at your annual salary rate for time put in). This is to see how well you take assignments and work with the team.

Step 5: After the probationary period, you'll be fully onboarded onto the team and given a contract, or the hiring process ends and we mutually part ways.


Got what it takes?Email [email protected] (include your Github, Resume, and Telegram username) OR fill out the formFor more info: y.at/🍵🕳️🍵 & https://docsend.com/view/s/wvfkg4kxbw57wyet"
5,InterOpera,"About InterOperaInterOpera is a Singapore-based fintech that develops and implements blockchain technology to provide the infrastructure needed for digitalization of capital markets products, by focusing on inter-chain bridging and interoperability across blockchain platforms. Shareable Assets Pte. Ltd. is its wholly-owned subsidiary operating under a capital markets services license from the MAS.To date, we have raised USD 9 million led by Korea Investment Partners. Among other investors, we are backed by Vertex Ventures and Kakao Investments.What we are building: Ultimate Bridge of Capital MarketsInterOpera is building an interoperable layer 1 network using proprietary RDOS (Regulated Defi Operating System) to directly interconnect investors. RDOS is a PaaS (Platform-as-a-Service) product of the interoperable blockchain infrastructure for capital markets participants (Governments, Financial Institutions, and Investors). RDOS acts as a gateway to unlock and enable blockchain-based efficiency within the current regulatory and securitization framework via smart contracts. As the ultimate middle-layer product for market participants, RDOS improves efficiency for participants without sacrificing investor protections; it also future-proofs the same market operators and participants. From inception, RDOS enhances financial inclusion by: 1) creating true access-to-market 2) enabling legal ownership of tokenized assets, and 3) greatly reducing transaction costs.About the roleAre you interested in creating the future of capital markets by helping to develop interoperable blockchain infrastructure? InterOpera is building an interoperable layer 1 network (bridge/hub chain) which can interconnect both private and public chains.Join our team to develop specialist expertise and help realize the true potential of blockchains and Web 3.0.Your primary focus will be working on the deployment and infrastructure related to Cosmos-based blockchain applications.Details and requirements for this role are described below. Your key responsibilitiesYou will be working in a highly collaborative team providing your expertise to assist in managing the CI/CD pipelines of the development team whilst advising and assisting in the deployment and configuration of production implementation of InterOpera blockchain nodes and products.You will work closely with the development team, product managers and product owners to architect the appropriate infrastructure for the deployment of our applications to major Cloud enterprise providers.You will be responsible for ensuring the infrastructure has been configured in accordance with InterOpera and clients’ information security controls and protocols, privacy and policies or specified requirements.You will also be responsible for creating appropriate dashboards, log management, backup and monitoring systems to facilitate the maintenance and management of software deployed and any integration with the InterOpera infrastructure.For deployments, you will be responsible for ensuring deliverables are delivered on-time, according to scope and in-spec; and establish performance and benchmarks as required.You will work in an Agile environment using modern Cloud and web/application tools such as docker, Kubernetes, helm, terraform etc.You will be expected, within a short ramp-up period, to make major contributions to the product and development team specifically, with respect to the usage and deployment of following technologies:
Docker/Kubernetes/Bash/Linux
NoSql & SQL (MongoDb/Postgres)
Graphql
Kafka/Zookeeper
Ethereum Clients (Geth, Besu, Erigon ..)
Cosmos SDK / Golang
Nginx 
To qualify for the role you must havePrevious experience as an application developer (5+ years)You have experience with microservice, event driven architecture and in the implementation of prudent design and architecture principles to enhance product-scalability and extensibility.Experience with:
Kubernetes/Docker/Helm - ideally you should have sufficient experience with K8s (and should have passed or should be able to pass linux foundation certification as any and/or all of CKA/CKAD/CKS certification)
CI/CD Pipelines
Apache Kafka/Rabbit MQ
Deployment of databases such as Postgresql/Mongodb
Active Directory and Other External Oauth providers
Nice to have:
Experience with architecting SaaS and PaaS applications
Blockchain deployment experience
Terraform
Hashicorp
Knowledge and experience deploying production applications with major cloud providers such as Azure, AWS, and GCP 
Skills and attributes for successYou must be able to work independently and autonomously with strategic guidance or direction. At the same time, being collaborative, you will reach out to teammates and other technology specialists as you see the opportunity to move the projects forward. You understand that being a highly skilled developer you are continuously learning and exploring new tools and technologies.You know how to work effectively in a remote environment, but when circumstances permit, you have no difficulty working in the company's offices several days a week as the collaboration requires.
You enjoy mentoring and coaching.
You have side projects and/or direct experience working with blockchains and have a good understanding of the principles of cryptography, consensus, and blockchain design.
You have extensive experience with open-source software.
You have an undergraduate university or college degree in computer science or a related discipline.
You have sample code available and or a github repo that highlights your coding /scripting capabilities. 
What we look forWe're interested in passionate leaders with a strong vision and a desire to stay on top of trends in the technology space. If you have a strong passion for helping businesses achieve their IT strategy, this role is for you.
LocationThis is an in-office role based in Singapore. Applicants are required to relocate for this position.How to reach us
Check our our website https://www.interopera.co/ or email us at [email protected] Read about what we do!https://singaporeglobalnetwork.gov.sg/stories/tech/how-regulated-defi-will-ensure-financial-inclusion/And our collaboration with BIS Innovation Hub and the Hong Kong Monetary Authority (HKMA) on green bond tokenizationhttps://www.bis.org/publ/othp43_report2.pdf"
6,InterOpera,"About InterOperaInterOpera is a Singapore-based fintech that develops and implements blockchain technology to provide the infrastructure needed for digitalization of capital markets products, by focusing on inter-chain bridging and interoperability across blockchain platforms. Shareable Assets Pte. Ltd. is its wholly-owned subsidiary operating under a capital markets services license from the MAS. To date, we have raised USD 9 million led by Korea Investment Partners. Among other investors, we are backed by Vertex Ventures and Kakao Investments. What we are building: Ultimate Bridge of Capital MarketsInterOpera is building an interoperable layer 1 network using proprietary RDOS (Regulated Defi Operating System) to directly interconnect investors. RDOS is a PaaS (Platform-as-a-Service) product of the interoperable blockchain infrastructure for capital markets participants (Governments, Financial Institutions, and Investors). RDOS acts as a gateway to unlock and enable blockchain-based efficiency within the current regulatory and securitization framework via smart contracts. As the ultimate middle-layer product for market participants, RDOS improves efficiency for participants of the existing system without sacrificing investor protections. RDOS contributes to financial inclusion by: 1) enhancing market accessibility, 2) enabling legal ownership of tokenized assets, and 3) reducing transaction costs in the long run.

About the roleAre you interested in creating the future of capital markets through interoperable blockchain infrastructure? InterOpera is building an interoperable layer 1 network (bridge/hub chain) which can interconnect both private and public chains. Join our team and have a new developer experience in building the interoperable layer 1 network in order to realize the true potential of blockchains and Web 3.0.Your primary focus will be to work on the deployment and infrastructure related to Cosmos-based blockchain applications. The position and requirements for this position are described below. 
Requirements

Exceptional ability to keep things organized during the development of complex projects with a distributed team
Proficiency in Rust and CosmWasm
Deep understanding of Blockchain technology and Ethereum in particular
Knowledge of the Ethereum virtual machine
Experience working in critical infrastructure systems, i.e blockchain
Self-motivation and ability to fully own tasks
Fast learner with a natural curiosity
Clear ability and willingness to hustle and get things done
Extreme ownership mentality - ability to take extreme ownership and full responsibility of tasks and projects
Passionate about blockchain technology
Able to provide valuable feedback and input during meetings
Professionalism and quality in work ethic
Staying committed to weekly assignments and being able to follow through

Nice to have

Strong understanding of Ethereum smart contracts and best practices
Experience implementing complex Ethereum contracts in Solidity
Familiarity with Cosmos
Previous experience in the blockchain industry, particularly around Cosmos, Ethereum, Binance Smart Chain, or Solana ecosystems
Basic knowledge of Javascript
Basic knowledge of cryptography
Responsibilities
Overseeing the release process of the Hub
Follow EIPs (Ethereum Improvement Protocols) from Ethereum and implement them into the engine
Maintenance of the InterOpera Hub
Maintenance of documentation, product knowledge base, and on-call handbook
Supporting the interaction between the InterOpera Hub and other teams
Working with the open-source community by collaborating with external contributors on our codebase, creating and participating in events, facilitating information exchange between our community and other open source communities
Communication and collaboration with a fully distributed team
Collaborate with Ethereum and being active in the Ethereum engineering forums
Skills and attributes for successYou must be able to work independently and with little direction, with the ability to reach out to teammates and other technology specialists when required. You understand that being a highly skilled developer you are continuously learning and exploring new tools and technologies.You know how to work effectively in a remote environment, but when circumstances permit you would have no problem working in the company's offices several days a week as circumstances require.
You enjoy mentoring and coaching.
You have side projects and/or direct experience working with blockchains and have a good understanding of the principles of cryptography, consensus, and blockchain design.
You have extensive experience with open-source software.
You have an undergraduate university or college degree in computer science or a related discipline.
You have sample code available and or a github repo that highlights your coding /scripting capabilities. 

LocationThis is an in-office role based in Singapore. Applicants are required to relocate for this position.

How to reach us
Check our our website https://www.interopera.co/ or email us at [email protected] Read about what we do!https://singaporeglobalnetwork.gov.sg/stories/tech/how-regulated-defi-will-ensure-financial-inclusion/And our collaboration with BIS Innovation Hub and the Hong Kong Monetary Authority (HKMA) on green bond tokenizationhttps://www.bis.org/publ/othp43_report2.pdf"
7,Rand Labs,"Job Overview:
Smart Contract development at Randlabs is very different from other companies working on other blockchains. As a Smart Contract Engineer, you will develop applications using Transaction Execution Approval Language (TEAL). This activity will demand the maximum problem-solving skills and will surely overheat your brain once in a while. If you are looking to challenge yourself to solve complex problems while building the future of finance, this might be the right place for you. In this role, you can work from anywhere in the world.
 
Skills & Requirements:
+3 years of software development
+1 Smart contract development in Solidity or any other blockchain
Experience in Software security
English or Spanish (or both)
Nice to haves:
PyTEAL/TEAL experience in Algorand
Natural talent at reverse-engineering
Strong experience with low-level programming languages
Experience with assembler/assembly languages
Experience building driver
Math competition awards
Location: Remote"
8,QuillHash Technologies,"Quillhash Technologies is a pioneer in developing enterprise-grade Blockchain solutions. We help traditional businesses become more efficient, streamlined, creative, and innovative by helping them realize the potential of the latest tech - Blockchain, AI, and IoT.
We are looking for passionate smart contract auditor interns who will review smart contracts and decentralized applications for security vulnerabilities within the web3 ecosystem. Under this role, you will work with the QuillAudits team, a product by QuillHash to provide cybersecurity solutions to crypto projects and start-ups. As a result of our industry-leading and quality assuring services, we have helped 400+ projects to eliminate serious security threats and have secured $15B+ in total value locked.
https://audits.quillhash.com/
What you will do:
Review the code (primarily solidity contracts) of blockchain projects.
Identify vulnerabilities, design and architectural flaws, quality improvement, and ways to mitigate future risk.
Write clear and concise reports and “action-steps” for developers to quickly mitigate and fix any issues discovered
Provide insights in establishing best practices for security culture within the industry.
Interact with developers, and key stakeholders when identifying and handling security issues
What we are looking for:
A deep understanding of the EVM, the ETH Yellow Paper, & EVM OP_Codes
Fluency in Solidity
Experience with security CTFs, like Ethernaut, Damn Vulnerable Defi etc and Development environments like Hardhat, Truffle, etc.
Comprehensive Knowledge of Javascript OR Python is required.
Knowledge of deFi , NFT protocols .
Understanding of Smart Contract Security Principles
Why we are awesome:
Work from Home friendly and Remote working.
Professional and Personal Development.
Fitness and online course allowances.
Company Events.
5-day workdays.
Competitive Performance Bonuses.
One of the pioneer companies in the blockchain space.
Working with professionals in the heart of the blockchain industry.
Dynamic startup environment, you will learn a lot of things.
Flat organization structure with an opportunity to work very closely with the founder.
QuillHash Technologies focuses on Healthcare, Loyalty Programs, Supply Chain Management, Insurance, and Blockchains. Their company has offices in Singapore, United Kingdom, and Gurgaon. They have a small team that's between 11-50 employees.
You can view their website at https://www.quillhash.com or find them on Twitter, Facebook, LinkedIn, and Product Hunt."
